corridor_id,length_ft,income,share_poc,poverty_rate,borough,treatment_cohort,first_protected_year,cyclist_injured,n_segments,is_protected,length_mi,income_q,poc_q
BUSHWICK AV|3|-1|0,51.8744549505571,98672.0,0.7143878037160553,0.13863744640304906,Brooklyn,never_treated,,2.0,1,False,0.009824707376999451,Q3,Q3
C P LENOX APPR|1|2018|0,888.0350485928535,45221.0,0.9473766886584982,0.3105590062111801,Manhattan,switcher,2018,0.0,9,True,0.1681884561728889,Q1 lowest,Q5 most POC
C P S 7 AV APPR|1|2018|0,330.6922231791026,189541.0,0.34931814775962833,0.08812490617024471,Manhattan,switcher,2018,8.0,2,True,0.06263110287483004,Q5 highest,Q1 least POC
C P W 100 APPR|1|2018|0,696.5674648155323,37641.0,0.7622884770346494,0.3600373482726424,Manhattan,switcher,2018,1.0,4,True,0.13192565621506294,Q1 lowest,Q4
C P W 67 APPR|1|2018|0,479.62333713129124,141363.0,0.31287683031869074,0.050602928509905255,Manhattan,switcher,2018,0.0,3,True,0.09083775324456274,Q5 highest,Q1 least POC
CABRINI BOULEVARD|1|-1|0,311.4998460078103,98086.0,0.73324493731919,0.0739842328684051,Manhattan,never_treated,,0.0,3,False,0.05899618295602467,Q3,Q3
CADMAN PLZ E|3|-1|0,442.4689928513391,148625.33883581273,0.37937179757140277,0.1058315347911067,Brooklyn,never_treated,,1.0,5,False,0.08380094561578393,Q5 highest,Q2
CADMAN PLZ W|3|-1|0,209.36273871726002,148542.0,0.3794520547945206,0.10586011342155009,Brooklyn,never_treated,,0.0,4,False,0.03965203384796591,Q5 highest,Q2
CADMAN PLZ W|3|-1|1,222.03396072796036,169292.13116300086,0.21159273121894212,0.04288223131254732,Brooklyn,never_treated,,1.0,4,False,0.042051886501507645,Q5 highest,Q1 least POC
CALYER ST|3|-1|0,435.2354843388471,146250.0,0.30224904004388375,0.060160798447463276,Brooklyn,never_treated,,2.0,1,False,0.08243096294296345,Q5 highest,Q1 least POC
CAMPUS RD|3|-1|0,717.3068227508494,80771.94464005667,0.7606503514287459,0.14218223913432507,Brooklyn,never_treated,,0.0,4,False,0.13585356491493358,Q3,Q4
CAMPUS RD|3|-1|1,1408.931026433061,84586.08172953686,0.6921360633160856,0.1461521867431562,Brooklyn,never_treated,,5.0,5,False,0.266842997430504,Q3,Q3
CANAL ST|1|-1|0,1893.6649414353194,48132.738767532515,0.7317993635196951,0.16272444613888778,Manhattan,never_treated,,26.0,9,False,0.35864866315062865,Q2,Q3
CANAL ST|1|2007|0,198.71752470058297,46860.0,0.7610103626943004,0.10584272574167637,Manhattan,always_treated,2007,5.0,2,True,0.03763589482965587,Q1 lowest,Q4
CARLTON AV|3|-1|0,9470.613398677737,124251.63531006532,0.5645028991479043,0.12133349470640384,Brooklyn,never_treated,,42.0,58,False,1.7936767800526017,Q4,Q3
CARMINE ST|1|-1|0,814.510674308621,120964.0,0.23207171314741037,0.03207055522148727,Manhattan,never_treated,,1.0,2,False,0.15426338528572367,Q4,Q1 least POC
CARPENTER AVE|2|-1|0,279.37210454605946,35476.0,0.9233747707356837,0.22774708410067526,Bronx,never_treated,,0.0,1,False,0.05291138343675369,Q1 lowest,Q4
CARROLL STREET BRIDGE|3|2026|0,97.47183292866657,134167.0,0.4206848357791754,0.10091743119266054,Brooklyn,treated_after_window,2026,0.0,1,False,0.018460574418308062,Q4,Q2
CARROLL STREET|3|-1|0,344.29327796882507,194950.36407453037,0.2208409581397385,0.04543188939652178,Brooklyn,never_treated,,2.0,2,False,0.06520706022136838,Q5 highest,Q1 least POC
CARROLL STREET|3|-1|1,235.13910272503395,134167.0,0.42068483577917537,0.10091743119266056,Brooklyn,never_treated,,0.0,2,False,0.04453392097065037,Q4,Q2
CASTLE HILL AVE|2|-1|0,13306.829774102942,50772.39263469974,0.9693195241586778,0.2614008187727545,Bronx,never_treated,,41.0,63,False,2.5202329117619207,Q2,Q5 most POC
CATALPA AVE|4|-1|0,4338.227225789361,91426.05896154915,0.47809974035010366,0.11077133242267946,Queens,never_treated,,6.0,7,False,0.8216339442782881,Q3,Q2
CATHEDRAL PKWY|1|-1|0,2618.2503672138023,94182.07511194117,0.5248900331710091,0.17335864321805228,Manhattan,never_treated,,22.0,13,False,0.4958807513662504,Q3,Q2
CATHERINE SLIP|1|-1|0,229.84289732516226,28606.999999999996,0.8802938138413864,0.31156009642980137,Manhattan,never_treated,,0.0,5,False,0.04353085176612922,Q1 lowest,Q4
CATHERINE ST|1|-1|0,1716.0455270396174,39276.543948642124,0.9201103540585037,0.4195804595814376,Manhattan,never_treated,,13.0,22,False,0.3250086225453821,Q1 lowest,Q4
CATON AVENUE|3|-1|0,275.3897392029919,71316.0,0.8077051926298158,0.1436820652173913,Brooklyn,never_treated,,3.0,1,False,0.052157147576324225,Q2,Q4
CATON AVE|3|-1|0,929.5910262629899,138329.89091579127,0.38358508596003715,0.09827586276704775,Brooklyn,never_treated,,8.0,4,False,0.17605890648920264,Q4,Q2
CATON AV|3|-1|0,2458.5289888254497,105197.64801421166,0.4921999537789384,0.05193802488920113,Brooklyn,never_treated,,20.0,12,False,0.4656304903078503,Q4,Q2
CENTER BLVD|4|-1|0,1459.7621858523707,213750.00000000003,0.47301374455246387,0.024974857525980554,Queens,never_treated,,3.0,5,False,0.2764701109568884,Q5 highest,Q2
CENTRAL AV|3|-1|0,9362.029877600806,79113.18643310147,0.793768127184538,0.21710322758747627,Brooklyn,never_treated,,105.0,63,False,1.773111719242577,Q3,Q4
CENTRAL AV|4|-1|0,5845.234176810683,77413.6488935116,0.4618675564649117,0.09525889840717025,Queens,never_treated,,23.0,21,False,1.1070519274262656,Q3,Q2
CENTRAL AV|4|-1|1,1161.2654432435693,85561.0,0.5096165625382825,0.09700355510411378,Queens,never_treated,,4.0,6,False,0.21993663697794874,Q3,Q2
CENTRAL PARK W|1|-1|1,137.24685553290814,132396.0,0.23877030901561003,0.054635234151003506,Manhattan,never_treated,,0.0,1,False,0.02599372263880836,Q4,Q1 least POC
CENTRAL PARK W|1|2019|0,4621.777226883755,153332.2415142081,0.2860836043224765,0.052651544383728585,Manhattan,switcher,2019,72.0,16,True,0.8753365960007112,Q5 highest,Q1 least POC
CENTRAL PARK W|1|2019|1,409.2266700131415,132396.0,0.23877030901561003,0.054635234151003506,Manhattan,switcher,2019,3.0,2,True,0.07750505113885255,Q4,Q1 least POC
CENTRAL PARK W|1|2020|0,10409.104442770435,104691.72272241939,0.47045497169911565,0.15811088195838444,Manhattan,switcher,2020,110.0,39,True,1.971421295979249,Q4,Q2
CENTRE STREET|1|2021|0,104.77431253022726,11406.0,0.6639712488769093,0.7967479674796747,Manhattan,switcher,2021,0.0,2,True,0.019843619797391528,Q1 lowest,Q3
CENTRE ST|1|-1|0,377.8432335765542,119293.0,0.47545654707939394,0.07519110493398193,Manhattan,never_treated,,0.0,3,False,0.071561218480408,Q4,Q2
CENTRE ST|1|2017|0,102.43620304365132,155031.0,0.5133188247207993,0.102216962388662,Manhattan,switcher,2017,4.0,2,True,0.01940079603099457,Q5 highest,Q2
CENTRE ST|1|2021|0,1267.0906001050485,58979.67554606866,0.6340551466981764,0.6197010106436409,Manhattan,switcher,2021,0.0,6,True,0.23997928032292584,Q2,Q3
CENTRE ST|1|2023|0,3155.87818643994,90156.36159194956,0.5347919391466496,0.3758742198987499,Manhattan,switcher,2023,36.0,8,True,0.5977042019772614,Q3,Q3
CHAMBERS ST|1|-1|0,984.1772721425668,228364.4678140152,0.3788343750963319,0.04846733743514719,Manhattan,never_treated,,23.0,6,False,0.1863972106330619,Q5 highest,Q2
CHARLTON STREET|1|-1|0,1508.2435871711461,246250.0,0.3245562130177515,0.04260355029585798,Manhattan,never_treated,,8.0,4,False,0.2856521945399898,Q5 highest,Q1 least POC
CHATHAM SQ|1|2025|0,173.07752900270816,134583.0,0.7946799667497922,0.17573221757322177,Manhattan,treated_after_window,2025,0.0,2,False,0.0327798350383917,Q4,Q4
CHEROKEE PL|1|-1|0,260.9969411382268,80132.0,0.13308800981294078,0.12143514259429623,Manhattan,never_treated,,0.0,1,False,0.0494312388519369,Q3,Q1 least POC
CHERRY AV|4|-1|0,6552.463545371216,55158.61731169457,0.8912271924366449,0.1522466501314934,Queens,never_treated,,7.0,12,False,1.2409968835930334,Q2,Q4
CHERRY ST|1|-1|0,751.0796742904279,34710.00000000001,0.7713183830881304,0.28250607924474325,Manhattan,never_treated,,1.0,4,False,0.14224993831258104,Q1 lowest,Q4
CHERRY ST|1|-1|1,1219.3420321299677,28534.8339082242,0.8812196507220033,0.3138322730264247,Manhattan,never_treated,,1.0,12,False,0.230935990933706,Q1 lowest,Q4
CHRISTOPHER ST|1|-1|0,3711.964857968176,164433.87993735753,0.24956193331750232,0.07394467248355575,Manhattan,never_treated,,24.0,18,False,0.7030236473424576,Q5 highest,Q1 least POC
CHRYSTIE ST|1|-1|0,62.06576107184847,100188.39328214694,0.5437177674587486,0.21391401344928693,Manhattan,never_treated,,0.0,2,False,0.011754878990880391,Q3,Q3
CHRYSTIE ST|1|2016|0,3017.1128177581413,60631.85439578639,0.7167874222328989,0.1364084954754927,Manhattan,switcher,2016,16.0,13,True,0.5714228821511631,Q2,Q3
CHURCH AV|3|-1|0,3808.567553124567,68702.91985808047,0.5424062833958337,0.16246868869154552,Brooklyn,never_treated,,30.0,11,False,0.7213196123341983,Q2,Q3
CHURCH AV|3|2010|0,160.22213941879292,126473.51658066496,0.3232159830572297,0.08815008819642059,Brooklyn,always_treated,2010,0.0,2,True,0.030345102162650173,Q4,Q1 least POC
CHURCH ST|1|-1|0,973.3243581731006,199576.0,0.37996297058218476,0.056572721662209426,Manhattan,never_treated,,13.0,4,False,0.18434173450248117,Q5 highest,Q2
CHURCH ST|1|2022|0,2352.8690672677367,250001.0,0.304321917273828,0.01237297783639113,Manhattan,switcher,2022,14.0,11,True,0.44561914152798043,Q5 highest,Q1 least POC
CITY ISLAND BR|2|-1|0,1021.3929518869952,129109.0,0.33783783783783783,0.042404473438956196,Bronx,never_treated,,0.0,5,False,0.19344563482708244,Q4,Q1 least POC
CLARENDON RD|3|-1|0,12620.789817104314,82615.17672154297,0.9707872693432923,0.10242043784141609,Brooklyn,never_treated,,94.0,42,False,2.390301101724302,Q3,Q5 most POC
CLARK ST|3|-1|0,503.7077620198967,164624.56719664016,0.35140479634435634,0.04777467995005326,Brooklyn,never_treated,,4.0,5,False,0.09539919735225316,Q5 highest,Q1 least POC
CLARKSON ST|1|-1|0,1591.0873028084525,195613.9964815419,0.2497277072351549,0.04601870089369669,Manhattan,never_treated,,8.0,8,False,0.30134229219857056,Q5 highest,Q1 least POC
CLASSON AV|3|-1|0,11160.21836993637,116213.62165783932,0.5959867277542973,0.13524290837039643,Brooklyn,never_treated,,108.0,42,False,2.113677721578858,Q4,Q3
CLAUDE AVENUE|4|-1|0,87.67299046240049,111139.0,0.855207451312447,0.02932426689332767,Queens,never_treated,,0.0,1,False,0.016604733042121306,Q4,Q4
CLAY AVENUE|2|-1|0,1356.2069188929222,47136.51983627342,0.9903077981124718,0.360125700147179,Bronx,never_treated,,9.0,4,False,0.2568573710024474,Q1 lowest,Q5 most POC
CLAY AV|2|-1|0,625.2095591572001,30374.999999999996,0.9756200975196097,0.5048275862068966,Bronx,never_treated,,2.0,3,False,0.11841090135553033,Q1 lowest,Q5 most POC
