geoid,ALAND,GEO_ID,median_household_income,pop_total,pop_white_nh,pop_black_nh,pop_asian_nh,pop_hispanic,poverty_universe,pop_below_poverty,county_fips,borough,share_white_nh,share_black_nh,share_hispanic,share_asian_nh,share_poc,poverty_rate,protected_ft,income_q,poc_q
36081009600,206470,1400000US36081009600,105156.0,3344.0,119.0,512.0,1007.0,479.0,3344.0,388.0,081,Queens,0.035586124401913874,0.15311004784688995,0.14324162679425836,0.30113636363636365,0.9644138755980861,0.11602870813397129,0.0,Q4,Q4
36081009800,135751,1400000US36081009800,78875.0,2526.0,45.0,287.0,1026.0,414.0,2526.0,321.0,081,Queens,0.017814726840855107,0.11361836896278701,0.16389548693586697,0.40617577197149646,0.982185273159145,0.12707838479809977,0.0,Q3,Q5 most POC
36081034700,382772,1400000US36081034700,71464.0,3360.0,236.0,272.0,500.0,2300.0,3214.0,639.0,081,Queens,0.07023809523809524,0.08095238095238096,0.6845238095238095,0.1488095238095238,0.9297619047619048,0.19881767268201617,0.0,Q3,Q4
36081035200,606225,1400000US36081035200,105750.0,2898.0,20.0,2220.0,56.0,68.0,2891.0,304.0,081,Queens,0.006901311249137336,0.7660455486542443,0.023464458247066944,0.01932367149758454,0.9930986887508627,0.10515392597717053,0.0,Q4,Q5 most POC
36081035300,155114,1400000US36081035300,101607.0,2156.0,146.0,121.0,130.0,1592.0,2156.0,245.0,081,Queens,0.06771799628942486,0.05612244897959184,0.738404452690167,0.06029684601113173,0.9322820037105751,0.11363636363636363,0.0,Q4,Q4
36081026501,107687,1400000US36081026501,51359.0,3131.0,607.0,10.0,1712.0,753.0,3131.0,543.0,081,Queens,0.1938677738741616,0.0031938677738741618,0.24049824337272438,0.5467901628872565,0.8061322261258383,0.173427020121367,217.234705590809,Q1 lowest,Q3
36081037502,100123,1400000US36081037502,68725.0,2724.0,64.0,402.0,156.0,2102.0,2724.0,354.0,081,Queens,0.023494860499265784,0.14757709251101322,0.7716593245227606,0.05726872246696035,0.9765051395007343,0.1299559471365639,0.0,Q2,Q5 most POC
36081027301,98640,1400000US36081027301,63110.0,3105.0,0.0,0.0,662.0,2443.0,3105.0,854.0,081,Queens,0.0,0.0,0.7867954911433173,0.21320450885668277,1.0,0.2750402576489533,0.0,Q2,Q5 most POC
36081000104,555546,1400000US36081000104,,371.0,65.0,169.0,0.0,125.0,336.0,205.0,081,Queens,0.1752021563342318,0.4555256064690027,0.33692722371967654,0.0,0.8247978436657681,0.6101190476190477,615.4459792039179,,Q3
36081027101,89918,1400000US36081027101,58906.0,5236.0,161.0,32.0,2947.0,1976.0,5214.0,449.0,081,Queens,0.03074866310160428,0.006111535523300229,0.37738731856378915,0.5628342245989305,0.9692513368983957,0.08611430763329497,0.0,Q2,Q4
36081040702,129066,1400000US36081040702,93182.0,4341.0,25.0,62.0,409.0,3821.0,4307.0,780.0,081,Queens,0.005759041695461875,0.01428242340474545,0.880211932734393,0.09421792213775627,0.9942409583045382,0.18110053401439516,0.0,Q4,Q5 most POC
36081040302,111327,1400000US36081040302,75385.0,4149.0,45.0,0.0,404.0,3700.0,4149.0,640.0,081,Queens,0.010845986984815618,0.0,0.8917811520848398,0.09737286093034467,0.9891540130151844,0.15425403711737767,0.0,Q3,Q5 most POC
36081040102,124044,1400000US36081040102,71283.0,4940.0,26.0,79.0,625.0,4210.0,4940.0,1088.0,081,Queens,0.005263157894736842,0.015991902834008098,0.8522267206477733,0.12651821862348178,0.9947368421052631,0.2202429149797571,0.0,Q3,Q5 most POC
